,irreps_type,tensor_product_type,lmax,batch,Time,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
102,MIMO,GTP-grid,3,1,4.105598590673618e-05,17.20917385677314,12.235179264273127,29.444353121046266,30.784699578161486
103,SIMO,CGTP-dense,1,1,3.6480047188020047e-06,0.0,0.040592132077200346,0.040592132077200346,0.2287458955217153
104,SISO,CGTP-sparse,4,128,3.276801415254029e-05,0.0,2.069231720658266,2.069231720658266,19.926848638342282
105,MIMO,CGTP-sparse,6,1,0.004280799835078241,0.0,0.014473946693393549,0.014473946693393549,0.10170797743746476
106,SISO,GTP-fourier,4,1,0.0001343363529041084,0.0,127.49149037848714,127.49149037848714,65.07520101287004
107,SIMO,CGTP-sparse,4,128,0.00016108800948535742,0.0,1.4474023962242222,1.4474023962242222,16.489949860780143
108,SISO,GTP-grid,5,1,2.662400465776574e-05,26.614166969401488,22.685043606988614,49.2992105763901,17.55707448066026
109,MIMO,GTP-grid,1,128,0.00011718401465787124,1393.3133005488035,20.693825130764658,1414.0071256795684,449.72937695344643
110,MIMO,GTP-grid,7,1,7.971199063826068e-05,21.674416282034084,35.403093293966116,57.07750957600021,45.34805210746515
111,MIMO,CGTP-sparse,1,1,2.0575990576807143e-05,0.0,0.003917747401329985,0.003917747401329985,0.0783380224648863
112,SIMO,GTP-grid,3,1,3.670401404381306e-05,20.077338578198844,13.384232923162516,33.461571501361355,33.07702316908476
113,SISO,CGTP-sparse,2,128,1.664000467230551e-05,0.0,1.01815554342573,1.01815554342573,8.008437486676499
114,SIMO,CGTP-sparse,7,1,0.00038361598102339177,0.0,0.026845736345432348,0.026845736345432348,0.15047386723744605
115,SIMO,GTP-grid,2,1,3.3791999979579585e-05,22.050291892587335,11.330969068337426,33.381260960924756,18.437775702889386
116,SIMO,CGTP-sparse,2,1,4.0063995369039944e-05,0.0,0.005713882993084524,0.005713882993084524,0.13233439467000688
117,SIMO,CGTP-dense,6,1,5.206399068716107e-05,0.0,1.0951741111098319,1.0951741111098319,2.3423242614298525
118,MIMO,GTP-fourier,3,128,0.00012857399816145943,271.2490135958055,61.2143110194875,332.463324615293,479.32174811546577
119,SIMO,CGTP-sparse,1,128,7.584000000015364e-06,0.0,1.0606319454807096,1.0606319454807096,7.912888425439596
120,SIMO,CGTP-sparse,1,1,1.4975999996364016e-05,0.0,0.0027910727885028944,0.0027910727885028944,0.08076564343180508
121,MIMO,CGTP-dense,6,1,0.0004177608138460464,0.0,0.9925871977679366,0.9925871977679366,8.96797614681496
122,SISO,GTP-grid,4,128,0.0001547200096700288,1411.2710670601666,21.198894299818324,1432.4699613599848,572.6503211009796
123,MIMO,CGTP-dense,5,1,0.00030649850857672055,0.0,0.6495181918406832,0.6495181918406832,5.782728090012421
124,SIMO,GTP-fourier,2,1,4.995195522035489e-05,0.0,3.2662635499006476,3.2662635499006476,9.85718104685812
125,SIMO,CGTP-dense,2,128,1.8848004658442048e-05,3.6964120790982964,30.89485010901408,34.591262188112374,6.087574872653931
126,SISO,GTP-fourier,1,1,4.031902875627537e-05,0.0,0.4135103058304734,0.4135103058304734,0.8091178730657945
127,MIMO,CGTP-dense,4,128,0.0004467837225558398,3.731540985872361,5.397891952564473,9.129432938436834,11.223445851716905
128,MIMO,GTP-grid,6,1,7.385599070001928e-05,43.10392390525076,30.766743672334737,73.8706675775855,36.921119684070966
129,SISO,GTP-grid,1,128,8.032000505962103e-05,1036.4204804013875,28.10774819475799,1064.5282285961455,440.67296705357865
130,SISO,GTP-fourier,4,128,0.00028823687501672486,674.9712831527452,99.67707093031386,774.648354083059,599.9863838279666
131,SIMO,GTP-fourier,8,1,0.0003517767618429086,0.0,610.1349581121577,610.1349581121577,115.86001804311915
132,SISO,CGTP-dense,2,128,1.1359995310493502e-05,0.0,61.71031647449183,61.71031647449183,5.672492868145928
133,MIMO,GTP-fourier,1,128,5.7023664418916064e-05,37.183961097325955,7.704334875849758,44.888295973175715,57.621764436197864
134,SIMO,GTP-grid,8,1,8.051200462120819e-05,65.77064251064151,34.55207840432567,100.32272091496719,38.10337720682224
135,MIMO,GTP-fourier,2,1,4.956777620030013e-05,0.0,3.3257802353930264,3.3257802353930264,9.897018538109647
136,MIMO,CGTP-dense,6,128,0.0006785700553226585,4.271759508749884,6.683911050663674,10.955670559413559,25.269831843188683
137,SISO,CGTP-dense,2,1,3.360004684526424e-06,0.0,0.1039421067146604,0.1039421067146604,0.42574746267870067
138,MIMO,GTP-grid,4,1,4.787199062749359e-05,34.41832119347304,20.566377942191668,54.98469913566471,58.35880894901364
139,MIMO,GTP-fourier,3,1,8.38015840723524e-05,0.0,72.08897202941567,72.08897202941567,32.70229067488418
140,MIMO,CGTP-dense,4,1,0.00017564787667272917,0.0,0.649944043314776,0.649944043314776,3.72615385193533
141,SISO,CGTP-dense,6,1,6.8799999999836e-06,0.0,1.5852788766493993,1.5852788766493993,3.3007804737519475
142,MIMO,GTP-grid,3,128,9.475201001094915e-05,1375.803791147457,121.47061300312998,1497.2744041505869,606.0168371089907
143,MIMO,GTP-fourier,4,1,0.00012413629545408758,0.0,145.2143748758339,145.2143748758339,75.99200163580942
144,MIMO,GTP-grid,1,1,3.203200471885232e-05,26.30825700424237,12.117267334433905,38.425524338676276,9.982131802732123
145,SIMO,CGTP-dense,4,1,2.2080004675079265e-05,0.0,1.1738509853227932,1.1738509853227932,1.8264037190750242
146,SISO,GTP-grid,1,1,2.4447990607593494e-05,26.3082570042399,11.838724245497264,38.14698124973716,9.598186284493655
147,MIMO,CGTP-dense,1,128,2.8159995314642454e-05,6.9672260885025565,10.515089142687989,17.482315231190547,3.03918805305846
148,SISO,GTP-grid,4,1,2.6271995351253496e-05,26.30823490649314,22.028348870924425,48.33658377741756,14.891581305282191
149,SIMO,GTP-grid,6,1,6.422400463671353e-05,52.616514008750514,25.85677254103738,78.4732865497879,26.947861635249115
