,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
454,SIMO,CGTP-sparse,6,1000,1,0.000141152,0.01318473368883133,0.0014085769653320312,0.0,34.52365927813076,34.52365927813076,7.700502757687051
456,MIMO,GTP-fourier,2,1000,9,6.2752e-05,0.037994347512722015,0.0031342506408691406,274.0906741995985,54.31336673786473,328.40404093746326,66.51093858040032
458,SISO,GTP-grid,3,1000,1,5.0528e-05,0.02342239022254944,0.00247037410736084,171.27771487181215,218.56158721814649,389.83930208995866,57.49942260099361
461,SIMO,GTP-grid,2,10000,1,8.6944e-05,0.11516136676073074,0.020938396453857422,386.0110328311012,548.3441845307495,934.3552173618507,263.0011428786012
462,MIMO,GTP-fourier,3,1000,13,0.000127744,0.12350668758153915,0.006538748741149902,1114.7827889496548,115.88234853401474,1230.6651374836695,102.94504175201249
471,SIMO,CGTP-sparse,4,100000,1,0.00194608,0.45010820031166077,0.04321157932281494,0.0,61.91575961611974,61.91575961611974,38.257212108184824
475,SIMO,CGTP-dense,8,1000,1,4.7808e-05,0.12381119281053543,0.0027550458908081055,980.4844377510041,163.76580587265482,1144.250243623659,59.58165015121059
478,SIMO,CGTP-dense,4,1000000,1,0.006479968,21.67698347568512,3.810607433319092,718.9364563954102,1151.9103145884353,1870.8467709838455,561.741228711837
480,MIMO,GTP-fourier,3,1000000,13,0.061409536,118.20998042821884,11.578869462013245,2783.905344822137,196.51453751518895,2980.4198823373263,530.6931531931886
482,SIMO,CGTP-sparse,2,1000,1,3.776e-05,0.0008242204785346985,0.00011050701141357422,0.0,9.414067965719783,9.414067965719783,2.0904051883351396
483,SISO,GTP-fourier,2,10000,1,0.000258016,0.37373314797878265,0.046169400215148926,1258.990935635466,175.23546727318072,1434.226402908647,277.02532796553436
484,SIMO,GTP-grid,10,10000,1,0.001108576,11.82733322866261,0.4179825782775879,5175.999054671609,725.4823897020797,5901.48144437369,442.3031486430202
487,MIMO,Matrix-TP,4,100000,17,0.0026720319999999995,29.139968872070312,1.4949275255203247,8056.325524982147,2111.3244735608455,10167.649998542993,511.6230166380245
488,MIMO,GTP-fourier,8,100,33,0.000301696,0.46194029971957207,0.007189631462097168,1121.5548543535042,116.64603730622218,1238.2008916597265,77.81953190229152
498,SIMO,GTP-grid,3,10000,1,0.00013241600000000003,0.2429516687989235,0.04712700843811035,371.68496692142406,814.584617791122,1186.2695847125462,381.8713939270537
499,MIMO,CGTP-sparse,1,100,6,2.8992000000000003e-05,8.009374141693115e-06,5.6862831115722656e-05,0.0,0.263745393226289,0.263745393226289,1.9590141623856443
501,SISO,GTP-fourier,7,10000,1,0.009356352,22.221101507544518,0.5255029201507568,4814.6737761729955,245.88140566469565,5060.555181837691,361.7010111071841
505,MIMO,CGTP-sparse,1,1000000,6,0.000761536,0.07078051567077637,0.4107329845428467,0.0,80.36398680537039,80.36398680537039,570.7328116399996
507,MIMO,CGTP-sparse,5,100,146,0.0025511040000000002,0.0030646100640296936,0.009999275207519531,0.0,1.1523260352596882,1.1523260352596882,3.8420538374148467
508,MIMO,GTP-fourier,2,10000,9,0.00025689599999999995,0.37373314797878265,0.04756355285644531,1258.990935635466,176.01965944972298,1435.0105950851892,316.3195818550635
509,SIMO,GTP-grid,1,1000,1,3.8624e-05,0.01353888213634491,0.0005738735198974609,113.53265671502977,189.6091829790086,303.14183969403837,16.900121495123848
510,MIMO,CGTP-sparse,3,1000,44,0.000291648,0.009197741746902466,0.00414276123046875,0.0,19.652068274145545,19.652068274145545,10.0619046277616
513,MIMO,CGTP-sparse,3,1,44,0.000428832,3.6638230085372925e-06,0.0004353523254394531,0.0,0.008442905539546255,0.008442905539546255,1.0111401022209598
515,SISO,GTP-grid,7,1000000,1,0.020109504,76.3377035856247,12.062684297561646,1907.8182869913956,2326.589287878633,4234.407574870029,611.1593395745728
517,SIMO,CGTP-dense,1,1000000,1,0.000559648,1.4864537715911865,0.21232128143310547,1098.2577530842907,1115.1287304803577,2213.3864835646486,427.02442085274197
518,SIMO,GTP-grid,4,10000,1,0.000224224,0.7023488432168961,0.08279705047607422,885.0827621414653,1243.0967283986224,2128.1794905400875,388.6152153502999
521,SIMO,GTP-grid,5,1000000,1,0.016325408,115.40167731046677,8.051296830177307,5663.625417625651,1195.8004852661168,6859.425902891769,518.6761750999225
527,MIMO,CGTP-sparse,6,100,231,0.00515264,0.006739143282175064,0.021219491958618164,0.0,1.2281141590753455,1.2281141590753455,3.9895909462251096
530,SIMO,GTP-fourier,6,10000,1,0.005691936000000001,13.056637153029442,0.4051929712295532,4306.399850822468,229.3274260730615,4535.727276895529,414.30917862404914
532,MIMO,Matrix-TP,3,100000,13,0.001152416,7.6864776611328125,0.6485998630523682,5220.730783719942,1107.1664954938708,6327.897279213814,560.0886432993573
533,SIMO,CGTP-sparse,4,1000,1,8.2624e-05,0.004501082003116608,0.0004897117614746094,0.0,16.572999832718953,16.572999832718953,3.8490288628117915
534,SISO,GTP-grid,4,1000000,1,0.011246336000000001,47.18678609281778,4.950084090232849,2404.6853443537902,1171.332281462612,3576.017625816402,527.245279640774
537,MIMO,CGTP-sparse,9,10000,670,0.01705584,8.210400119423866,1.5972763299942017,0.0,94.64315692146164,94.64315692146164,22.6768754168459
